YEAR,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC
1982,-0.21,-0.11,-0.05,0.1,0.4,0.62,-0.02,0.01,0.24,0.43,0.18,0.36
1983,0.41,0.41,0.37,-0.02,0.18,-0.06,-0.32,-0.49,-0.62,-1.02,-1.01,-0.97
1984,-0.81,-0.84,-0.91,-0.97,-0.85,-0.81,-0.45,-0.65,-0.45,-0.67,-0.75,-1.0
1985,-0.83,-0.57,-0.99,-1.09,-1.08,-0.96,-0.74,-0.6,-0.6,-0.57,-0.37,-0.34
1986,-0.52,-0.37,-0.29,-0.68,-0.44,-0.24,-0.29,-0.01,0.15,0.23,0.3,0.19
1987,0.26,0.31,0.47,0.26,0.06,0.34,0.29,0.35,0.33,0.63,0.63,0.51
1988,0.5,0.31,-0.07,-0.6,-0.72,-0.95,-1.0,-0.99,-0.77,-1.75,-1.87,-1.78
1989,-1.86,-1.46,-1.26,-1.1,-0.69,-1.05,-0.83,-0.91,-0.54,-0.54,-0.76,-0.15
1990,-0.02,0.18,0.13,0.16,-0.15,-0.2,-0.11,0.14,0.08,0.28,0.15,0.39
1991,0.4,0.3,0.15,0.22,0.39,0.21,0.17,0.38,0.17,0.63,0.44,0.77
1992,0.58,0.67,0.6,0.52,0.33,0.17,0.33,-0.04,-0.03,-0.24,-0.3,0.03
1993,0.09,0.0,0.07,0.0,-0.0,-0.08,0.02,-0.02,0.16,-0.02,0.08,0.29
1994,0.09,-0.2,0.06,-0.11,0.19,0.19,0.47,0.61,0.38,0.5,0.58,0.71
1995,0.54,0.71,0.59,0.36,0.26,0.06,-0.08,-0.21,-0.32,-0.57,-0.63,-0.48
1996,-0.48,-0.62,-0.61,-0.5,-0.38,-0.39,-0.42,-0.26,-0.32,-0.35,-0.43,-0.14
1997,-0.1,0.12,0.13,0.48,0.42,0.2,0.4,0.33,0.56,0.3,0.61,0.44
1998,0.44,0.52,0.27,-0.12,-0.23,-0.48,-0.77,-0.9,-0.77,-1.41,-1.43,-1.48
1999,-1.67,-1.48,-1.34,-1.29,-0.99,-0.89,-1.09,-0.95,-0.91,-0.85,-1.13,-1.23
2000,-1.2,-1.41,-1.49,-1.22,-1.14,-0.55,-0.57,-0.55,-0.33,-0.66,-0.67,-1.16
2001,-0.91,-0.99,-0.73,-0.6,-0.41,-0.27,0.15,0.07,0.39,0.19,0.12,-0.09
2002,0.38,0.32,0.06,0.37,0.5,0.5,0.46,0.54,0.56,0.57,0.83,0.83
2003,0.64,0.61,0.61,0.16,-0.2,0.02,0.14,0.14,0.14,0.44,0.41,0.3
2004,0.31,0.27,0.08,0.06,0.15,0.07,0.35,0.4,0.65,0.67,0.64,0.68
2005,0.89,0.61,0.51,0.29,0.21,0.23,0.13,0.02,-0.04,0.06,-0.12,-0.18
2006,-0.56,-0.73,-0.49,-0.34,-0.14,0.16,0.14,0.42,0.66,0.63,0.84,0.9
2007,0.69,0.52,0.4,0.15,-0.14,-0.11,-0.24,-0.17,-0.52,-0.63,-1.1,-0.8
2008,-1.44,-1.39,-1.09,-0.94,-0.9,-0.85,-0.68,-0.68,-0.58,-0.43,-0.5,-0.77
2009,-0.84,-0.69,-0.54,-0.21,0.03,0.12,0.27,0.47,0.37,0.86,1.17,1.17
2010,1.16,0.92,0.87,0.7,0.21,-0.26,-0.66,-1.13,-1.47,-1.35,-1.43,-1.14
2011,-1.18,-1.07,-0.5,-0.75,-0.42,-0.49,-0.4,-0.23,-0.57,-0.69,-0.81,-1.01
2012,-0.92,-0.63,-0.68,-0.53,-0.42,-0.34,-0.25,0.09,0.12,0.34,0.37,0.01
2013,-0.08,0.09,-0.49,-0.15,-0.22,-0.27,-0.17,-0.19,0.06,0.12,0.14,-0.3
2014,-0.32,-0.16,0.05,0.32,0.48,0.22,0.04,0.28,0.53,0.47,0.73,0.75
2015,0.7,0.96,0.94,1.1,0.89,0.9,0.89,0.73,0.79,0.95,1.55,1.4
2016,1.26,1.37,1.2,0.75,0.56,0.41,0.15,-0.01,-0.16,-0.4,-0.41,-0.06
2017,-0.07,-0.09,-0.06,0.11,0.19,0.44,0.23,0.09,-0.09,-0.13,-0.35,-0.39
2018,-0.2,-0.26,-0.18,0.05,0.13,0.24,0.22,0.47,0.46,0.88,0.79,0.97
2019,0.83,0.85,0.87,0.61,0.62,0.69,0.73,0.62,0.57,0.84,0.73,0.85
2020,0.94,0.88,0.73,0.53,0.04,0.15,0.05,-0.34,-0.43,-0.71,-0.7,-0.85
2021,-1.0,-0.87,-0.41,-0.18,-0.06,0.04,-0.13,-0.07,-0.42,-0.57,-0.68,-0.76
2022,-0.22,-0.23,-0.65,-0.72,-0.86,-0.57,-0.88,-0.93,-1.01,-1.08,-0.9,-0.73
2023,-0.6,-0.52,-0.14,0.3,0.33,0.64,0.71,0.95,1.1,1.24,1.44,1.39
2024,1.45,1.22,0.93,0.81,0.7,0.65,0.6,0.48,0.3,0.15,0.14,-0.37
2025,-0.63,-0.58,-0.36,-0.17,0.01,0.23,0.05,-0.06,-0.27,-0.33,-0.52,-0.23
2026,-0.04,0.23,0.34,0.82,0.98,1.23,1.06,,,,,
