YEAR,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC
1982,0.17,-0.11,-0.25,-0.05,0.49,0.46,0.27,0.83,1.49,1.96,2.19,2.8
1983,2.69,2.01,1.32,1.19,1.43,1.45,0.68,0.55,0.2,-0.52,-1.03,-0.88
1984,-0.87,0.03,-0.28,-0.29,-0.84,-1.29,-0.83,-0.58,-0.29,-0.9,-1.05,-1.37
1985,-1.39,-1.14,-0.96,-0.94,-1.22,-1.19,-1.14,-0.98,-0.97,-0.98,-0.91,-0.88
1986,-0.87,-0.58,-0.42,-0.53,-0.77,-0.49,-0.09,-0.1,0.29,0.34,0.54,0.6
1987,0.81,0.78,0.8,0.57,0.62,0.51,0.99,1.06,1.37,0.88,0.73,0.91
1988,0.53,-0.03,-0.1,-0.76,-1.67,-2.16,-2.08,-1.6,-0.94,-1.58,-1.82,-1.82
1989,-1.45,-0.96,-1.23,-1.06,-0.9,-0.39,-0.52,-0.65,-0.4,-0.57,-0.7,-0.5
1990,-0.4,-0.11,-0.5,-0.21,0.03,-0.18,-0.15,-0.06,-0.01,-0.17,-0.36,-0.08
1991,-0.05,-0.1,-0.2,-0.19,0.22,0.58,0.56,0.33,0.11,0.27,0.73,1.03
1992,1.18,0.96,0.71,0.89,1.07,0.47,-0.22,-0.24,-0.19,-0.42,-0.23,-0.17
1993,-0.01,0.31,0.22,0.44,0.84,0.18,0.17,0.03,0.15,0.2,0.01,-0.02
1994,0.08,-0.19,-0.3,-0.56,-0.26,-0.23,-0.61,-0.35,-0.11,0.49,0.73,0.8
1995,0.5,0.37,-0.2,-0.57,-0.82,-0.61,-0.36,-0.78,-0.85,-0.9,-1.01,-0.96
1996,-0.71,-0.66,-0.5,-0.94,-0.85,-0.78,-0.65,-0.54,-0.55,-0.68,-0.64,-1.06
1997,-0.98,-0.72,-0.44,-0.31,0.46,1.21,1.77,2.32,2.52,2.69,3.04,3.07
1998,2.75,2.19,1.64,1.2,1.06,-0.27,-0.38,-0.43,-0.63,-0.91,-0.73,-1.15
1999,-1.15,-0.74,-0.35,-0.83,-0.64,-0.8,-0.87,-0.96,-1.12,-1.34,-1.57,-1.59
2000,-1.67,-1.0,-0.61,-0.19,-0.56,-0.73,-0.8,-0.58,-0.46,-0.57,-0.91,-0.72
2001,-0.43,-0.21,0.1,-0.22,-0.22,-0.23,-0.37,-0.35,-0.5,-0.47,-0.84,-0.59
2002,-0.65,-0.34,0.06,-0.12,0.16,0.48,0.3,0.31,0.67,0.66,1.09,1.15
2003,0.67,0.4,0.15,-0.36,-0.91,-0.59,-0.02,0.16,0.1,0.42,0.32,0.68
2004,0.47,0.26,-0.05,-0.15,-0.44,-0.24,0.04,0.09,0.26,0.41,0.55,0.56
2005,0.28,-0.13,-0.23,-0.0,0.19,0.11,0.11,0.22,-0.21,-0.32,-0.98,-1.21
2006,-0.82,-0.27,-0.57,-0.3,-0.05,0.0,-0.02,0.39,0.8,0.79,0.88,1.14
2007,0.94,0.14,-0.46,-0.31,-0.79,-0.46,-0.63,-1.02,-1.02,-1.29,-1.54,-1.36
2008,-1.35,-1.08,-0.47,-0.29,-0.03,-0.12,0.25,0.57,0.34,0.23,-0.05,-0.63
2009,-0.35,-0.42,-0.65,-0.04,0.38,0.63,0.79,0.83,0.82,0.75,1.07,1.41
2010,1.06,0.74,0.72,0.55,-0.09,-0.56,-0.87,-0.99,-0.94,-1.36,-1.25,-1.29
2011,-1.28,-0.8,-0.8,-0.37,-0.28,-0.05,0.01,-0.34,-0.57,-0.74,-1.02,-0.92
2012,-0.48,-0.25,-0.12,-0.09,0.05,0.55,0.6,0.7,0.4,0.02,0.24,-0.65
2013,-0.67,-0.55,0.04,0.02,-0.69,-0.8,-0.57,-0.72,-0.05,-0.05,-0.23,0.03
2014,-0.2,-0.75,-0.05,0.17,0.59,0.93,0.48,0.32,0.34,0.63,0.88,0.77
2015,0.54,0.37,0.12,0.76,0.86,1.26,1.71,1.84,2.09,2.38,2.7,2.57
2016,2.49,1.93,1.53,0.7,-0.03,-0.02,-0.47,-0.43,-0.1,-0.48,-0.51,-0.28
2017,-0.03,0.53,0.5,0.56,0.38,0.07,0.15,0.02,-0.51,-0.39,-0.95,-1.14
2018,-1.09,-0.79,-0.73,-0.49,-0.15,0.18,0.27,0.14,0.28,0.76,0.92,0.94
2019,0.73,0.71,0.79,0.64,0.66,0.42,0.06,-0.11,-0.21,0.16,0.37,0.29
2020,0.22,0.1,0.17,0.39,-0.13,-0.57,-0.42,-0.43,-0.8,-0.9,-1.03,-0.7
2021,-0.51,-0.71,-0.47,-0.76,-0.45,-0.09,-0.1,-0.2,-0.17,-0.56,-0.77,-1.21
2022,-1.17,-1.06,-0.7,-0.89,-0.92,-0.62,-0.36,-0.53,-0.8,-0.92,-0.89,-0.78
2023,-0.5,-0.13,0.36,0.44,0.9,1.21,1.59,1.96,2.07,2.0,2.08,2.06
2024,1.87,1.47,1.03,0.62,-0.03,-0.14,-0.08,-0.25,-0.16,-0.05,-0.03,-0.35
2025,-0.18,0.11,0.51,-0.03,-0.18,-0.01,0.04,-0.24,-0.41,-0.35,-0.6,-0.7
2026,-0.5,-0.01,0.24,0.55,1.14,1.75,2.33,,,,,
