YEAR,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC
1982,-0.24,-0.72,-1.38,-1.16,-0.62,-0.29,0.24,0.85,1.33,1.8,2.78,2.89
1983,2.3,1.55,1.73,2.37,3.26,4.03,3.85,2.88,1.58,1.11,0.38,0.11
1984,-0.16,-0.87,-0.88,-0.45,-1.17,-0.97,-0.69,-0.57,-0.38,-0.43,-0.21,-0.21
1985,-0.93,-1.3,-0.95,-1.43,-1.89,-1.35,-1.37,-1.26,-1.35,-1.11,-0.79,-0.5
1986,-0.02,-0.22,-0.69,-0.91,-1.27,-1.02,-0.61,-0.14,-0.11,0.12,-0.01,0.12
1987,0.54,0.66,0.94,0.87,0.84,0.66,0.7,0.72,0.71,1.29,0.93,0.44
1988,-0.19,-0.42,-0.85,-1.07,-1.13,-1.59,-1.6,-1.66,-1.52,-1.53,-1.22,-1.17
1989,-0.48,-0.23,0.0,-0.13,-1.25,-1.15,-0.7,-0.51,-0.88,-0.68,-0.43,-0.58
1990,-0.6,-0.43,-0.5,-0.7,-0.61,-0.4,-0.9,-0.47,-0.6,-0.79,-0.9,-0.72
1991,-0.78,-0.4,-0.28,-0.52,0.04,-0.11,0.23,0.12,0.14,0.22,0.29,0.29
1992,0.07,0.15,0.78,1.44,1.47,0.48,-0.39,-0.18,-0.21,0.12,-0.26,-0.43
1993,-0.27,0.03,0.23,0.5,0.54,0.36,0.23,0.13,0.3,0.32,0.01,-0.37
1994,-0.2,-0.34,-1.06,-1.22,-1.1,-0.75,-0.61,-0.96,-0.52,0.69,0.63,0.62
1995,0.52,0.07,-0.3,-1.08,-1.24,-0.73,-0.5,-0.71,-0.35,-0.82,-0.1,-0.86
1996,-0.69,-0.49,-0.45,-1.64,-1.34,-1.31,-1.34,-1.11,-1.08,-0.73,-1.29,-1.16
1997,-0.93,-0.45,0.23,0.8,1.83,2.79,3.59,3.71,3.63,3.57,3.73,3.73
1998,2.88,1.91,1.91,2.34,2.84,1.92,1.64,1.12,0.53,0.79,-0.17,0.24
1999,-0.69,-0.42,0.01,-1.52,-0.82,-0.83,-0.79,-0.83,-0.94,-0.74,-0.96,-0.67
2000,-0.59,-0.39,-0.72,0.21,-0.64,-0.49,-1.05,-1.01,-0.57,-0.5,-0.97,-0.41
2001,-0.37,-0.38,0.34,0.53,-0.35,-0.69,-0.58,-0.55,-0.77,-1.07,-0.85,-0.64
2002,-0.58,-0.07,0.69,0.66,0.74,0.12,0.02,-0.15,0.22,0.77,1.19,0.89
2003,-0.05,0.04,0.06,-0.77,-1.74,-0.95,-0.44,0.18,-0.27,0.27,0.44,0.47
2004,0.28,0.12,-0.78,-0.02,-0.97,-0.94,-0.75,-0.63,-0.33,0.34,0.89,0.15
2005,0.13,-0.58,-1.37,-0.61,-0.04,-0.67,-0.4,-0.57,-0.68,-1.11,-1.27,-0.71
2006,-0.11,0.58,-0.28,-1.21,-0.44,-0.27,0.17,0.75,1.15,1.6,1.2,1.11
2007,0.61,0.16,-0.33,-0.54,-1.12,-0.83,-0.65,-0.97,-1.07,-1.59,-1.9,-1.72
2008,-0.26,0.27,0.52,0.32,0.07,0.44,0.9,1.18,1.12,0.45,0.0,-0.26
2009,-0.16,-0.24,-0.49,0.34,0.5,0.73,0.98,0.8,0.63,0.25,0.25,0.62
2010,0.0,-0.3,-0.1,0.62,0.13,0.18,-1.07,-0.92,-1.35,-1.41,-1.32,-1.2
2011,-0.62,0.01,-0.5,-0.12,0.16,0.25,0.29,-0.06,-0.7,-0.93,-0.67,-0.65
2012,-0.61,-0.15,-0.08,0.82,0.81,1.31,0.3,0.09,0.55,-0.46,-0.1,-0.45
2013,-0.14,-0.11,-0.49,-1.08,-1.37,-1.9,-1.81,-1.03,-0.77,-0.67,-0.64,-0.01
2014,0.19,-0.92,-0.79,-0.35,0.57,1.22,1.36,1.02,0.74,0.39,0.74,-0.11
2015,0.06,-0.57,0.13,0.96,1.34,1.91,2.48,1.8,2.26,2.2,2.04,2.1
2016,1.21,1.01,1.11,0.45,0.44,0.37,0.39,0.4,0.59,0.48,0.26,0.42
2017,1.07,1.14,1.83,0.77,0.35,-0.03,-0.32,-0.28,-0.71,-1.07,-1.12,-1.22
2018,-0.74,-0.49,-0.75,-0.84,-0.54,-0.69,-0.29,-0.18,0.02,0.27,0.78,0.84
2019,0.8,0.67,0.5,0.47,0.15,-0.03,-0.59,-0.47,-0.72,-0.93,-0.13,0.27
2020,-0.03,0.14,0.44,0.28,-0.28,-0.87,-1.01,-0.69,-0.76,-0.76,-0.67,-0.86
2021,-0.74,-0.58,-0.42,-1.13,-0.83,-0.05,0.25,-0.01,0.18,-0.29,-0.81,-1.53
2022,-0.7,-1.43,-0.66,-1.42,-1.42,-1.41,-1.16,-0.57,-1.12,-1.81,-1.36,-0.3
2023,-0.24,0.71,1.52,2.45,2.02,2.63,3.21,3.3,2.82,2.46,2.22,1.41
2024,0.83,0.92,0.28,0.08,-0.68,-0.65,-0.41,-0.34,-0.68,-0.32,0.26,-0.1
2025,-0.2,0.69,1.15,0.63,0.16,0.61,0.46,0.23,-0.18,-0.04,-0.34,-0.43
2026,-0.29,0.92,1.29,1.52,1.81,2.83,3.56,,,,,
