YEAR,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC
1993,-0.07,-0.12,-0.24,-0.31,-0.28,-0.22,-0.16,-0.19,-0.17,-0.16,-0.12,-0.12
1994,-0.09,-0.06,0.0,0.04,0.01,-0.09,-0.21,-0.23,-0.17,0.0,0.11,0.16
1995,0.12,0.09,0.11,0.17,0.21,0.2,0.15,0.12,0.08,0.05,0.03,-0.0
1996,-0.01,-0.05,-0.07,-0.13,-0.19,-0.26,-0.28,-0.22,-0.19,-0.16,-0.23,-0.24
1997,-0.26,-0.19,-0.18,-0.12,-0.08,0.04,0.11,0.12,0.04,-0.02,0.03,0.11
1998,0.21,0.17,0.15,0.13,0.32,0.47,0.58,0.5,0.46,0.39,0.36,0.32
1999,0.27,0.23,0.18,0.21,0.19,0.12,0.09,0.09,0.09,0.03,-0.08,-0.16
2000,-0.22,-0.2,-0.15,-0.05,-0.04,-0.04,-0.07,-0.04,-0.01,0.0,0.02,-0.01
2001,-0.0,0.0,0.03,0.02,0.03,0.06,0.09,0.14,0.11,0.1,0.12,0.16
2002,0.19,0.18,0.22,0.22,0.12,0.0,-0.01,0.06,0.17,0.23,0.23,0.2
2003,0.23,0.35,0.41,0.41,0.3,0.16,0.09,0.09,0.19,0.24,0.22,0.19
2004,0.18,0.19,0.16,0.07,0.09,0.14,0.22,0.17,0.16,0.18,0.21,0.14
2005,0.07,0.1,0.17,0.25,0.28,0.34,0.38,0.35,0.28,0.21,0.17,0.12
2006,0.04,0.0,0.04,0.14,0.16,0.11,0.1,0.17,0.26,0.25,0.2,0.2
2007,0.3,0.36,0.37,0.3,0.22,0.16,0.13,0.12,0.12,0.09,0.11,0.06
2008,0.06,-0.01,-0.02,-0.02,-0.01,-0.06,-0.08,-0.06,-0.01,-0.05,-0.12,-0.14
2009,-0.14,-0.12,-0.09,-0.03,0.08,0.15,0.22,0.29,0.38,0.41,0.42,0.29
2010,0.22,0.15,0.2,0.31,0.39,0.4,0.36,0.27,0.2,0.1,-0.01,-0.13
2011,-0.2,-0.13,0.02,0.12,0.21,0.16,0.18,0.16,0.11,0.04,0.02,0.05
2012,0.12,0.13,0.13,0.15,0.2,0.24,0.24,0.28,0.33,0.34,0.35,0.31
2013,0.36,0.3,0.21,0.08,0.01,-0.03,-0.03,-0.03,0.18,0.29,0.32,0.2
2014,0.16,0.19,0.23,0.18,0.1,0.13,0.21,0.3,0.34,0.35,0.35,0.36
2015,0.4,0.43,0.41,0.4,0.32,0.28,0.28,0.43,0.52,0.58,0.55,0.57
2016,0.53,0.55,0.55,0.62,0.63,0.67,0.6,0.55,0.52,0.51,0.47,0.45
2017,0.46,0.45,0.42,0.33,0.27,0.27,0.32,0.35,0.34,0.34,0.43,0.47
2018,0.44,0.41,0.39,0.31,0.21,0.09,0.07,0.12,0.16,0.18,0.19,0.23
2019,0.3,0.36,0.35,0.27,0.26,0.31,0.39,0.38,0.34,0.35,0.37,0.41
2020,0.43,0.43,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
